id|description
342|342 УК - Организация и подготовка действий, грубо нарушающих общественный порядок, либо активное участие в них, грубо нарушающих общественный порядок, либо активное участие в них
342_1|342 ч.1 УК - Организация групповых действий, грубо нарушающих общественный порядок и сопряженных с явным неповиновением законным требованиям представителей власти или повлекших нарушение работы транспорта, предприятий, учреждений или организаций, грубо нарушающих общественный порядок, либо активное участие в них
363|363 УК - Сопротивление сотруднику органов внутренних дел или иному лицу, охраняющим общественный порядок
363_2|363 ч.2 УК - Сопротивление сотруднику органов внутренних дел или иному лицу совершенное группой лиц либо сопряженное с применением насилия или с угрозой его применения, охраняющим общественный порядок
188|188 УК - Клевета
341|341 УК - Осквернение сооружений и порча имущества
293|293 УК - Массовые беспорядки
218|218 УК - Умышленные уничтожение либо повреждение имущества
289|289 УК - Акт терроризма
295|295 УК - Незаконные действия в отношении огнестрельного оружия, боеприпасов и взрывчатых веществ
349|349 УК - Несанкционированный доступ к компьютерной информации
243|243 УК - Уклонение от уплаты сумм налогов, сборов
431|431 УК - Дача взятки
235|235 УК - Легализация («отмывание») средств, полученных преступным путем
339|339 УК - Хулиганство
147|147 УК - Причинение тяжких телесных повреждений
9.9_2|9.9 ч. 2 УК - Hарушение законодательства о свободе вероисповеданий и религиозных организациях
178|178 УК - Разглашение врачебной тайны
369|369 УК - Оскорбление представителя власти
200|200 УК - Принуждение к забастовке либо к отказу от участия в ней
370|370 УК - Надругательство над государственными символами
361|361 УК - Призывы к действиям ограничительного характера (санкциям), иным действиям, направленным на причинение вреда национальной безопасности Республики Беларусь, направленным на причинение вреда национальной безопасности Республики Беларусь
364|364 УК - Насилие либо угроза применения насилия в отношении сотрудника органов внутренних дел
210|210 УК - Хищение путем злоупотребления служебными полномочиями
264|264 УК - Нарушение режима охраны и использования особо охраняемых природных территорий
209|209 УК - Мошенничество
205|205 УК - Тайное похищение имущества (кража)
167|167 УК - Насильственные действия сексуального характера
167_1|167 ч.1  УК - Мужеложство, лесбиянство или иные действия сексуального характера, совершенные вопреки воле потерпевшего (потерпевшей) с применением насилия или с угрозой его применения либо с использованием беспомощного состояния потерпевшего (потерпевшей)
167_2|167 ч.2  УК - Насильственные действия сексуального характера, совершенные повторно, либо лицом, ранее совершившим изнасилование, либо группой лиц, либо в отношении заведомо несовершеннолетнего (несовершеннолетней)
365|365 УК - Вмешательство в деятельность сотрудника органов внутренних дел
391|391 УК - Оскорбление судьи или народного заседателя в связи с исполнением правосудия
130|130 УК - Разжигание расовой, национальной, религиозной либо иной социальной вражды или розни, национальной, религиозной либо иной социальной вражды или розни
366|366 УК - Насилие либо угроза в отношении должностного лица , выполняющего служебные обязанности, или иного лица, выполняющего общественный долг, выполняющего служебные обязанности, или иного лица, выполняющего общественный долг,,,,,,,
366_1|366 ч.1 УК - Насилие либо угроза насилием, уничтожением или повреждением имущества в отношении должностного лица, выполняющего служебные обязанности, выполняющего служебные обязанности, или иного лица, выполняющего общественный долг,,,,,,,
368|368 УК - Оскорбление Президента Республики Беларусь
189|189 УК - Оскорбление
179|179 УК - Незаконные собирание либо распространение информации о частной жизни
191|191 УК - Воспрепятствование осуществлению избирательных прав, права на участие в референдуме, либо реализации права законодательной инициативы граждан, либо работе Центральной комиссии Республики Беларусь по выборам и проведению республиканских референдумов, избирательных комиссий, комиссий по референдуму, комиссий по проведению голосования об отзыве депутата,,,,
9.3|9.3 КоАП - Оскорбление, то есть умышленное унижение чести и достоинства личности, выраженное в неприличной форме
23.34_3|23.34 ч. 3 КоАП - Нарушение установленного порядка проведения собрания, митинга, уличного шествия, демонстрации, пикетирования совершенные повторно в течение одного года после наложения административного взыскания
23.34_2|23.34 ч. 2 КоАП - Нарушение установленного порядка проведения собрания, митинга, уличного шествия, демонстрации, пикетирования, совершенные организатором таких мероприятий
23.34_1|23.34 ч. 1 КоАП - Нарушение установленного порядка проведения собрания, митинга, уличного шествия, демонстрации, пикетирования
23.14|23.14 КоАП - Незаконное проникновение на охраняемые объекты
17.11|17.11 КоАП - Распространение, изготовление, хранение, перевозка информационной продукции, содержащей призывы к экстремистской деятельности или пропагандирующей такую деятельность, изготовление, хранение, перевозка информационной продукции, содержащей призывы к экстремистской деятельности или пропагандирующей такую деятельность,,,,,,
23.3|23.3 КоАП - Вмешательство в разрешение дела об административном правонарушении
18.1|18.1 - Умышленное блокирование транспортных коммуникаций
24.12|24.12 КоАП - Несоблюдение требований превентивного надзора или профилактического наблюдения
2.4|2.4 КоАП - Соучастие в административном правонарушении
23.4|23.4 КоАП - Неповиновение законному распоряжению или требованию должностного лица при исполнении им служебных полномочий
22.9|22.9 ч. 2 КоАП - Нарушение установленного порядка рассылки обязательных бесплатных экземпляров периодических печатных изданий, распространения эротических изданий, опубликования средством массовой информации опровержения, а равно незаконное изготовление и (или) распространение продукции средств массовой информации,,,,,,,
24.6|24.6 КоАП - Нарушение порядка декларирования доходов и имущества, ведущий административный или уголовный процесс, либо к судебному исполнителю
17.1|17.1 КоАП - Мелкое хулиганство
17.10|17.10 КоАП - Пропаганда и (или) публичное демонстрирование, изготовление и (или) распространение нацистской символики или атрибутики, изготовление и (или) распространение нацистской символики или атрибутики
24.1|24.1 КоАП - Неуважение к суду
18.14|18.14 КоАП - Невыполнение требований сигналов регулирования дорожного движения, нарушение правил перевозки пассажиров или других правил дорожного движения
18.23|18.23 КоАП - Hарушение правил дорожного движения пешеходом и иными участниками дорожного движения либо отказ от прохождения проверки (освидетельствования)
9.4|9.4 ч. 1 КоАП - Невыполнение родителями или лицами, их заменяющими, обязанностей по воспитанию детей, повлекшее совершение несовершеннолетним деяния, их заменяющими, обязанностей по воспитанию детей, повлекшее совершение несовершеннолетним деяния, содержащего признаки административного правонарушения либо преступления, но не достигшим ко времени совершения такого деяния возраста, с которого наступает административная или уголовная ответственность за совершенное деяние,,,,
10.9|10.9 КоАП - Умышленные уничтожение либо повреждение имущества, повлекшие причинение ущерба в незначительном размере, если в этих действиях нет состава преступления
14.5|14.5 ч. 1 КоАП - Еедекларирование товаров или транспортных средств
24.4|24.4 ч.4 КоАП - Оскорбление должностного лица при исполнении им служебных полномочий
23.5_3|23.5 ч.3 КоАП - Нарушение законодательства о средствах массовой информации
9.1|9.10 КоАП - Нарушение законодательства о выборах, референдуме, об отзыве депутата и о реализации права законодательной инициативы граждан
21.14_2|21.14 ч. 2 КоАП - Нарушение других правил благоустройства и содержания населенных пунктов
24.32|24.32 КоАП - Уклонение от реализации огнестрельного оружия или боеприпасов, совершенное лицом, у которого аннулировано разрешение на их хранение
18.19|18.19 КоАП - Управление транспортным средством лицом, не имеющим права управления, не имеющим права управления
424_3|424 ч. 3 УК - Злоупотребление властью или служебными полномочиями совершенные должностным лицом, занимающим ответственное положение, предусмотренные частью 2 настоящей статьи, совершенные должностным лицом, занимающим ответственное положение, либо при осуществлении функций по разгосударствлению или приватизации государственного имущества, либо повлекшие тяжкие последствия,,,,,
243_2|243 ч. 2 УК - Уклонение от уплаты сумм налогов, сборов. То же деяние, повлекшее причинение ущерба в особо крупном размере
233_2|233 ч. 2 УК - Предпринимательская деятельность, осуществляемая без специального разрешения (лицензии) сопряженное с привлечением денежных средств, электронных денег или иного имущества граждан, осуществляемая без специального разрешения (лицензии).  Действие, предусмотренное частью 1 настоящей статьи, совершенное лицом, ранее судимым за преступление, предусмотренное настоящей статьей, либо сопряженное с привлечением денежных средств...,,,,
16_6|16 ч. 6 УК - Соучастие в преступлении. Пособником признается лицо, содействовавшее совершению преступления советами, указаниями, предоставлением информации, содействовавшее совершению преступления советами, указаниями, предоставлением информации или орудий и средств совершения преступления, устранением препятствий либо оказанием иной помощи, либо лицо, заранее обещавшее скрыть преступника, орудия или средства совершения преступления, следы преступления либо предметы, добытые преступным путем, либо лицо, заранее обещавшее приобрести или сбыть такие предметы.
16_5|16 ч. 5 УК - Соучастие в преступлении. Подстрекателем признается лицо, склонившее другое лицо к совершению преступления, склонившее другое лицо к совершению преступления.
